gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
MIR124-1,6,-0.3819716021016949,0.14443704971409135,-0.665068219541314,-0.09887498466207584,0.008179861265784223,5.353158242450866e-06,0.0,down,1,5,0.8333333333333334,0.21875,0.023136448627780307
GRIK1-AS1,7,-0.3285488157223767,0.12424510263875163,-0.5720692168943299,-0.08502841455042351,0.00818454861412503,3.969475565898671e-06,0.0,down,1,6,0.8571428571428571,0.125,0.023147085806572782
ANAPC2,10,-0.32083331666416903,0.1213368708943368,-0.5586535836170692,-0.08301304971126891,0.008189549806857176,0.06031437217680237,0.47839779512944086,down,2,8,0.8,0.109375,0.023158608073930168
VPS9D1,10,0.29157104868351885,0.11028394044184868,0.07541452541749544,0.5077275719495422,0.008197588300576942,0.03894498733203509,0.3576345053376829,up,8,2,0.8,0.109375,0.02317871571439871
CHMP1A,10,-0.5042401646077387,0.19073719227341931,-0.8780850614636405,-0.13039526775183685,0.008202022802256863,0.26019122012511725,0.787730460512474,down,2,8,0.8,0.109375,0.02318338217053391
ATP6AP1-DT,9,-0.5357971106875999,0.20270009126161678,-0.9330892895603689,-0.13850493181483103,0.00821023027688539,0.2533545893202947,0.6936175433222191,down,1,8,0.8888888888888888,0.0390625,0.02320395548669238
P2RX7,10,0.5269312989992163,0.19936655512018536,0.136172850963653,0.9176897470347796,0.008216834761301693,0.29134154762082637,0.8169939509447358,up,8,2,0.8,0.109375,0.02321999425023502
CMTM8,10,-0.22336359412003598,0.08451908931852786,-0.38902100918435056,-0.05770617905572137,0.00822335153562404,0.0014957551014187654,0.0,down,2,8,0.8,0.109375,0.023233153665621366
HEYL,10,0.4280674241439143,0.161983057762471,0.11058063092947118,0.7455542173583574,0.008225567563310006,0.1632319819574757,0.6699706161731848,up,9,1,0.9,0.021484375,0.023236786531612263
GRAPL-AS1,8,0.2675182146162546,0.10124831220230282,0.06907152269974107,0.4659649065327681,0.008236958265389635,5.9608609865491405e-06,0.0,up,8,0,1.0,0.0078125,0.023261797573728708
CAMLG,10,-0.34345331099795007,0.12998909141408996,-0.5982319301695664,-0.08867469182633375,0.008237663467587163,0.07905152595836641,0.5157584669005378,down,1,9,0.9,0.021484375,0.023261797573728708
