library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,IL6,1,3,0.3333333333333333,0.13656760362743156,0.720887703938743,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PRKAR2B,1,3,0.3333333333333333,0.1948429613274761,0.6294234917828914,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPR45,1,3,0.3333333333333333,0.11796906861442762,0.7571909816327509,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,LHCGR,1,3,0.3333333333333333,0.031899361010347245,0.949570175339746,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,TAAR1,1,3,0.3333333333333333,0.1260305646174123,0.742071876793379,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,POMC,1,3,0.3333333333333333,0.027966406749518908,0.9545427875359249,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GLP2R,1,3,0.3333333333333333,0.1485351321048118,0.6995790961625753,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,INSL3,1,3,0.3333333333333333,0.13439835868024352,0.7251210346377758,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,CRHR2,1,3,0.3333333333333333,0.17175040273930325,0.6631140141877322,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNB2,1,3,0.3333333333333333,0.21188500279352407,0.8951610816811866,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADCYAP1R1,1,3,0.3333333333333333,0.28923822678641586,0.6632873473681002,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PRKAR1B,1,3,0.3333333333333333,0.2158613892343248,0.7185548394622656,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADCY2,1,3,0.3333333333333333,0.10186504281002765,0.9009174794429925,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADRB1,1,3,0.3333333333333333,0.23619261466360558,0.5615212042774349,up,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,BUB1B,2,3,0.6666666666666666,-0.517155681999961,0.029529147102922558,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,CDC20,2,3,0.6666666666666666,-0.38018404578588094,0.1803450685010206,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,ANAPC7,2,3,0.6666666666666666,-0.2230758197487821,0.5625997768533711,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,NEK2,2,3,0.6666666666666666,-0.4487839991844731,0.21050996187378124,down,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,CDC27,2,3,0.6666666666666666,0.04555179123254564,0.948474388981817,up,3
Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,UBC,1,3,0.3333333333333333,-0.04928391821476925,0.9430069129968032,down,3
